dateId,date,dateYear,dateMonth,dateDay,dateQuarter
1,1/1/2018,2018,1,1,1
2,1/2/2018,2018,1,2,1
3,1/3/2018,2018,1,3,1
4,1/4/2018,2018,1,4,1
5,1/5/2018,2018,1,5,1
6,1/6/2018,2018,1,6,1
7,1/7/2018,2018,1,7,1
8,1/8/2018,2018,1,8,1
9,1/9/2018,2018,1,9,1
10,1/10/2018,2018,1,10,1
11,1/11/2018,2018,1,11,1
12,1/12/2018,2018,1,12,1
13,1/13/2018,2018,1,13,1
14,1/14/2018,2018,1,14,1
15,1/15/2018,2018,1,15,1
16,1/16/2018,2018,1,16,1
17,1/17/2018,2018,1,17,1
18,1/18/2018,2018,1,18,1
19,1/19/2018,2018,1,19,1
20,1/20/2018,2018,1,20,1
21,1/21/2018,2018,1,21,1
22,1/22/2018,2018,1,22,1
23,1/23/2018,2018,1,23,1
24,1/24/2018,2018,1,24,1
25,1/25/2018,2018,1,25,1
26,1/26/2018,2018,1,26,1
27,1/27/2018,2018,1,27,1
28,1/28/2018,2018,1,28,1
29,1/29/2018,2018,1,29,1
30,1/30/2018,2018,1,30,1
31,1/31/2018,2018,1,31,1
32,2/1/2018,2018,2,1,1
33,2/2/2018,2018,2,2,1
34,2/3/2018,2018,2,3,1
35,2/4/2018,2018,2,4,1
36,2/5/2018,2018,2,5,1
37,2/6/2018,2018,2,6,1
38,2/7/2018,2018,2,7,1
39,2/8/2018,2018,2,8,1
40,2/9/2018,2018,2,9,1
41,2/10/2018,2018,2,10,1
42,2/11/2018,2018,2,11,1
43,2/12/2018,2018,2,12,1
44,2/13/2018,2018,2,13,1
45,2/14/2018,2018,2,14,1
46,2/15/2018,2018,2,15,1
47,2/16/2018,2018,2,16,1
48,2/17/2018,2018,2,17,1
49,2/18/2018,2018,2,18,1
50,2/19/2018,2018,2,19,1
51,2/20/2018,2018,2,20,1
52,2/21/2018,2018,2,21,1
53,2/22/2018,2018,2,22,1
54,2/23/2018,2018,2,23,1
55,2/24/2018,2018,2,24,1
56,2/25/2018,2018,2,25,1
57,2/26/2018,2018,2,26,1
58,2/27/2018,2018,2,27,1
59,2/28/2018,2018,2,28,1
60,3/1/2018,2018,3,1,1
61,3/2/2018,2018,3,2,1
62,3/3/2018,2018,3,3,1
63,3/4/2018,2018,3,4,1
64,3/5/2018,2018,3,5,1
65,3/6/2018,2018,3,6,1
66,3/7/2018,2018,3,7,1
67,3/8/2018,2018,3,8,1
68,3/9/2018,2018,3,9,1
69,3/10/2018,2018,3,10,1
70,3/11/2018,2018,3,11,1
71,3/12/2018,2018,3,12,1
72,3/13/2018,2018,3,13,1
