hotelId,hotelName,hotelAddress,hotelNumRooms
1,A CAPITOL PLACE,134 12TH STREET SE,5
2,ADAM'S INN,1746 LANIER PLACE NW,26
3,AKA WHITE HOUSE,1710 H STREET NW,142
4,HOTEL HIVE,2224 F STREET NW,50
5,AMERICAN GUEST HOUSE,2005 COLUMBIA ROAD NW,12
6,ASANTE SANA INN,1207 KENYON STREET NW,6
7,AVENUE SUITES HOTEL,2500 PENNSYLVANIA AVENUE NW,124
8,BEACON HOTEL AND CORPORATE QUARTERS,1615 RHODE ISLAND AVENUE NW,60
9,GEORGETOWN INN WEST END,1121 NEW HAMPSHIRE AVENUE NW,76
10,THE WOODWARD BY BRIDGESTREET,733 15TH STREET NW,
11,IVY CITY HOTEL,1615 NEW YORK AVENUE NE,58
12,"ROSEWOOD WASHINGTON, D.C.",1050 31ST STREET NW,61
13,CAPITAL HILTON,1001 16TH STREET NW,541
14,HILTON WASHINGTON DC NATIONAL MALL,480 L'ENFANT PLAZA SW,372
15,CAPITAL VIEW HOSTEL,301 I STREET NW,
16,CAPITOL HILL HOTEL,200 C STREET SE,152
17,CAPITOL SKYLINE HOTEL,10 I STREET SW,203
18,KIMPTON CARLYLE HOTEL,1731 NEW HAMPSHIRE AVENUE NW,170
19,THE CHURCHILL HOTEL NEAR EMBASSY ROW,1914 CONNECTICUT AVENUE NW,173
20,"CLUB QUARTERS HOTEL WASHINGTON, D.C.",839 17TH STREET NW,185
21,QUALITY INN  & SUITES NEW YORK AVE,1600 NEW YORK AVENUE NE,134
22,COMFORT INN DOWNTOWN DC/CONVENTION CENTER,1201 13TH STREET NW,100
23,COURTYARD WASHINGTON CONVENTION CENTER,900 F STREET NW,188
24,"COURTYARD WASHINGTON, DC/DUPONT CIRCLE",1900 CONNECTICUT AVENUE NW,147
25,COURTYARD WASHINGTON EMBASSY ROW,1600 RHODE ISLAND AVENUE NW,158
26,"COURTYARD WASHINGTON, DC/FOGGY BOTTOM",515 20TH STREET NW,149
27,"COURTYARD WASHINGTON, DC/U.S. CAPITOL",1325 2ND STREET NE,218
28,COURTYARD WASHINGTON CAPITOL HILL/NAVY YARD,140 L STREET SE,204
29,DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,4400 CONNECTICUT AVENUE NW,155
30,DAYS INN BY WYNDHAM WASHINGTON DC/GATEWAY,2700 NEW YORK AVENUE NE,195
31,DC LOFTY HOSTEL,1333 11TH STREET NW,
32,THE DISTRICT HOTEL,1440 RHODE ISLAND AVENUE NW,58
33,KIMPTON DONOVAN HOTEL,1155 14TH STREET NW,193
34,THE DARCY HOTEL,1515 RHODE ISLAND AVENUE NW,226
35,EMBASSY CIRCLE GUEST HOUSE,2224 R STREET NW,11
36,THE EMBASSY ROW HOTEL,2015 MASSACHUSETTS AVENUE NW,231
37,EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,4300 MILITARY ROAD NW,198
